customer_id,total_spent,num_orders,avg_order_value,num_products,country,city,recency
LEHMS,19261.409954871833,15,493.8823065351752,31,Germany,Frankfurt a.M.,2
LETSS,3076.4724822382627,4,307.6472482238263,10,USA,San Francisco,84
LILAS,16076.599920950532,14,472.8411741456039,28,Venezuela,Barquisimeto,2
LINOD,16476.564915319384,12,470.75899758055385,26,Venezuela,I. de Margarita,16
LONEP,4258.599994659424,8,304.18571390424455,13,USA,Portland,24
MAGAA,7176.214951009527,10,341.72452147664416,19,Italy,Bergamo,52
MAISD,9736.075006915928,7,572.7102945244663,17,Belgium,Bruxelles,30
MEREP,28872.190156118424,13,902.2559423787008,27,Canada,Montréal,189
MORGK,5042.200035095215,5,458.3818213722923,10,Germany,Leipzig,56
NORTS,649.0,3,108.16666666666667,5,UK,London,8
OCEAN,3460.200008392334,5,314.5636371265758,11,Argentina,Buenos Aires,38
OLDWO,15177.462503358722,10,632.3942709732801,20,USA,Anchorage,17
OTTIK,12496.1999632217,10,430.9034470076448,24,Germany,Köln,23
PERIC,4242.200015068054,6,303.0142867905753,14,Mexico,México D.F.,2
PICCO,23128.86001497373,10,1005.6026093466838,20,Austria,Salzburg,10
PRINI,5044.940011057854,5,504.49400110578534,9,Portugal,Lisboa,29
QUEDE,6664.809939688891,9,277.7004141537038,18,Brazil,Rio de Janeiro,37
QUEEN,25717.497604973578,13,642.9374401243394,33,Brazil,Sao Paulo,3
QUICK,110277.30503039382,28,1282.294244539463,49,Germany,Cunewalde,23
RANCH,2844.099998474121,5,237.00833320617676,12,Argentina,Buenos Aires,24
RATTC,51097.80082826822,18,719.6873356094115,45,USA,Albuquerque,1
REGGC,7048.239968932271,12,320.37454404237593,20,Italy,Reggio Emilia,7
RICAR,12450.800013110042,11,461.14074122629785,21,Brazil,Rio de Janeiro,8
RICSU,19343.778920320852,10,644.7926306773618,26,Switzerland,Genève,1
ROMEY,1467.2900185585022,5,104.80642989703587,12,Spain,Madrid,28
SANTG,5735.1500153541565,6,358.4468759596348,15,Norway,Stavern,27
SAVEA,104361.94954039395,31,899.6719787964996,53,USA,Boise,6
SEVES,16215.325044126435,9,623.6663478510168,23,UK,London,92
SIMOB,16817.097612204925,7,1121.1398408136617,15,Denmark,Kobenhavn,1
SPECD,2423.3500022888184,4,403.8916670481364,6,France,Paris,15
SPLIR,11441.63007227078,9,572.081503613539,17,USA,Lander,43
SUPRD,24088.780281318424,12,617.6610328543186,31,Belgium,Charleroi,16
THEBI,3361.0000038146973,4,480.1428576878139,7,USA,Portland,36
THECR,1947.2399940490723,3,243.40499925613403,8,USA,Butte,31
TOMSP,4778.140057610572,6,341.2957184007551,11,Germany,Münster,45
TORTU,10812.150033950806,10,372.8327597914071,24,Mexico,México D.F.,3
TRADH,6850.664033139408,6,526.9741563953392,13,Brazil,Sao Paulo,108
TRAIH,1571.1999893188477,3,174.57777659098306,8,USA,Kirkland,119
VAFFE,15843.924896007404,11,511.0943514841098,23,Denmark,Århus,35
VICTE,9182.429877647459,10,367.29719510589837,22,France,Lyon,104
VINET,1480.0000019073486,5,148.00000019073485,9,France,Reims,176
WANDK,9588.424962970987,10,368.7855754988841,22,Germany,Stuttgart,14
WARTH,15648.702585553974,15,422.937907717675,28,Finland,Oulu,22
WELLI,6068.199970615655,9,319.3789458218766,16,Brazil,Resende,59
WHITC,27363.604900210797,14,684.09012250527,32,USA,Seattle,6
WILMK,3161.349983215332,7,185.96176371854895,17,Finland,Helsinki,30
WOLZA,3531.949995994568,7,220.7468747496605,14,Poland,Warszawa,14
